strength,agility,expertise,endurance,health,height,performance,generation,N,K,M,threshold,character_type,selection_method_1,selection_method_2,selection_method_3,selection_method_4,crossing_method,mutation_method,new_generation_method,gene,A,B,p_m,Tc,T0,k,max_generations,max_generations_without_change,delta,optimal_fitness,optimal_fitness_error
26.954377358391834,30.2699374022874,34.940859538656085,28.88382779720677,28.950997903457896,1.8791098261219052,20.833044534064697,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
42.12089479453547,27.07771808220137,27.07771808220137,35.671856986260885,18.051812054800912,1.9627256921995264,25.725551693430184,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
43.0,34.0,23.0,24.0,26.0,1.7500528362258956,25.22588118391474,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
32.0,35.0,19.0,37.0,27.0,1.838929857597304,21.291200472602537,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
41.11406315171645,31.08624287081,31.67172068530385,18.050076505631615,28.077896786538066,1.8085376756580545,27.340264496357783,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
27.185321026676053,29.19904851013354,37.253958443963484,30.242674874583635,26.1189971446433,1.8830697717214224,21.08698585719589,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
33.46116441041902,34.805067309044354,27.594382105844137,31.43321505221181,22.706171122480676,1.9041588263654055,25.35151102370251,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
31.162053655616035,25.130688431948414,33.89496540041543,23.62410117001439,36.18819134200572,1.9410697884729595,21.491418994241176,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
37.42874410209618,23.475241501400006,32.37080570992102,26.377578333531872,30.34763035305096,1.4360858258434837,21.11701266981834,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
31.03256638107788,36.03781902318722,30.031515852656014,24.86868394726661,28.02941479581228,1.9345437783278743,24.812937208153667,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
29.0,32.0,29.0,30.0,30.0,1.9594075151394283,21.26640817372632,2,5,2,1,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
