strength,agility,expertise,endurance,health,height,performance,generation,N,K,M,threshold,character_type,selection_method_1,selection_method_2,selection_method_3,selection_method_4,crossing_method,mutation_method,new_generation_method,gene,A,B,p_m,Tc,T0,k,max_generations,max_generations_without_change,delta,optimal_fitness,optimal_fitness_error
39.806699665766274,32.661907418064644,30.6205382044356,27.409537565920616,19.501317145812894,1.909099407638002,29.31871954660513,2,100,60,30,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
38.028169014084504,32.74647887323943,31.69014084507042,26.408450704225352,21.12676056338028,1.937051569371036,28.417604568311102,2,100,60,30,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
45.168593819661965,30.56018365109911,30.11239587977465,20.433411489847085,23.725415159617192,1.8381048320808413,29.782359646162448,2,100,60,30,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
34.96956352804041,31.08405646936926,28.94702758710012,27.01722574796011,27.982126667530117,1.883457587307719,24.93815532359153,2,100,60,30,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
39.527027027027025,29.391891891891888,26.351351351351347,29.391891891891888,25.33783783783783,1.9148815143365698,26.257194444302797,2,100,60,30,0.7,archer,probabilistic_tournament,probabilistic_tournament,probabilistic_tournament,probabilistic_tournament,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
33.43593822414465,34.407184996528485,28.659375620695414,26.748750579315722,26.748750579315722,1.8868996270705853,25.347240250344534,2,100,60,30,0.7,archer,probabilistic_tournament,probabilistic_tournament,probabilistic_tournament,probabilistic_tournament,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
40.58905170194645,36.126256513508245,28.90100521080659,20.643575150576137,23.74011142316256,1.8937541924369192,30.9570216831934,3,100,60,30,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,2,5,0.01,100,2
36.15875434990505,38.22496888418534,23.761467144223317,23.960913408902407,27.893896212783893,1.9008939389878154,27.58190161508276,3,100,60,30,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,2,5,0.01,100,2
38.74898092672689,26.21254592102113,30.771249559459587,24.179779579098568,30.087444013693823,1.9053589462651912,25.59436844224824,3,100,60,30,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,2,5,0.01,100,2
36.24532463371849,38.25895378003619,26.17717890213002,20.120920062508766,29.19762262160656,1.914891676233759,28.426499554987885,3,100,60,30,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,2,5,0.01,100,2
33.65800779953001,34.34897303591507,25.256597820525787,23.1148383253452,33.62158301868393,1.91961861909718,24.800561592737346,3,100,60,30,0.7,archer,probabilistic_tournament,probabilistic_tournament,probabilistic_tournament,probabilistic_tournament,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,2,5,0.01,100,2
