strength,agility,expertise,endurance,health,height,performance,generation,N,K,M,threshold,character_type,selection_method_1,selection_method_2,selection_method_3,selection_method_4,crossing_method,mutation_method,new_generation_method,gene,A,B,p_m,Tc,T0,k,max_generations,max_generations_without_change,delta,optimal_fitness,optimal_fitness_error
34.58880674078911,32.48886499117341,28.787492633910222,28.8565782304207,25.27825740370656,1.9087929909579215,25.47582316054439,22,14,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
39.151418603864364,28.733397673596418,31.187377582768743,24.885092110330774,26.042714029439683,1.8386973484403804,25.923693802298768,20,15,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
34.85063445940754,30.951931048122393,26.969756366875835,32.808994388574845,24.418683737019393,1.8612068105973751,23.82032963001225,17,15,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
31.004707119481072,36.143088848658316,29.641545449113657,25.099367256012716,28.111291326734243,1.8799952670780473,24.55666846708575,21,16,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
34.715668609934696,33.822352200320175,30.607729812289225,25.448256948583076,25.405992428872832,1.8759326161828331,26.267305087379707,26,16,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
34.32433892166504,36.564474788716524,27.17907276226444,25.23771042210269,26.694403105251304,1.9147958353372783,26.656580778426598,22,17,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
34.38026001606238,33.68910344593382,33.97042674261388,16.985907635867267,30.974302159522665,1.8981101075696922,27.233161917625058,22,17,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
39.217689681901746,35.49691741103958,25.922231703176056,23.234442424780344,26.128718779102268,1.492068079979071,24.953021386500055,15,18,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
41.74663054854817,33.312930617729855,20.35172994536164,31.760703353227825,22.8280055351325,1.938953067299423,27.3278486880032,16,18,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
26.863329243870943,30.837990319109146,38.26356771240895,21.86027010438541,32.17484262022555,1.9714707881248406,21.03085674605599,19,19,2,1,0.7,archer,deterministic_tournament,boltzmann,deterministic_tournament,boltzmann,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,250,10,0.01,100,2
