strength,agility,expertise,endurance,health,height,performance,generation,N,K,M,threshold,character_type,selection_method_1,selection_method_2,selection_method_3,selection_method_4,crossing_method,mutation_method,new_generation_method,gene,A,B,p_m,Tc,T0,k,max_generations,max_generations_without_change,delta,optimal_fitness,optimal_fitness_error
37.03203139825177,39.0337628251843,32.02770283092045,21.889188676318206,20.01731426932528,1.8858551823018044,30.65528913852468,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
36.06185567010309,36.06185567010309,32.78350515463918,19.670103092783506,25.422680412371133,1.9138046968528797,29.17381886399235,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
39.21337729627885,38.15355628827131,32.85445124823363,18.016957136128116,21.761658031088082,1.9274625912408587,32.30639377475832,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
40.92608787141411,38.25882561817088,30.448048969340224,23.532500526063114,16.83453701501167,1.9045869852422315,32.75914110723431,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
44.37210879660023,34.86379976875732,24.283338866606936,22.49914414242284,23.981608425612663,1.9235376345005948,31.217267526501267,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
38.03208889298624,39.981626947730206,30.985760884490908,17.67347061513886,23.327052659653756,1.88075194527448,31.44816324369373,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
42.18599751788267,33.74879801430613,35.85809789020027,18.9836988830472,19.223407694563733,1.9106924751315069,33.08507271966311,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
36.5296803652968,41.095890410958894,24.657534246575338,22.602739726027394,25.11415525114155,1.8914887311040367,29.224108855162918,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
36.9451305738113,37.85675202430898,29.955511276063216,21.278197104965944,23.96440902085057,1.9040886118871547,29.74599507080572,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
38.137775458107456,39.60117630547841,24.087016078804705,24.087016078804705,24.087016078804705,1.9425588246284242,29.365062013957033,2,150,90,45,0.7,archer,elite,elite,elite,elite,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
44.4921071279883,27.479263225138425,23.68902002167106,26.655631856676145,27.683977768526052,1.9320337523038615,26.88773930458319,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
37.92895445601794,30.575252705031183,40.76700360670825,29.44283593817818,11.285953294064448,1.868450187155763,29.183332877759685,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
41.911764705882355,26.47058823529412,31.98529411764706,20.955882352941178,28.676470588235297,1.9042630140763972,27.83920986311723,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
39.69884052427039,28.426856848036884,31.36756617714415,29.205674843873506,21.30106160667511,1.9513728434899282,26.89660603403132,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
40.12994658779457,38.12344925840484,26.08446528206647,18.57442492497277,27.087713946761333,1.896699761796083,30.807344647231524,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
36.0,33.0,34.0,22.0,25.0,1.9126240534757195,28.075731081163536,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
41.0,22.0,41.0,22.0,24.0,1.8342780872360303,26.192387123749874,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
35.2998503212574,31.3532808646626,32.35819612781929,20.59157935406682,30.397093332193876,1.9249042362287179,26.43960568814241,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
42.00802123091895,33.606416984735155,28.176738430335053,21.004010615459475,25.204812738551368,1.9801512287378862,28.63487239136835,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
34.06462004002148,39.006296061301185,30.338230269900926,17.33613158280053,29.254722045975893,1.9339909226904273,28.24773839823034,2,150,90,45,0.7,archer,roulette,roulette,roulette,roulette,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
38.35768667570946,30.900997437973274,34.88822291384079,22.926546486238234,22.926546486238234,1.9253934481467656,28.830433972032075,2,150,90,45,0.7,archer,probabilistic_tournament,probabilistic_tournament,probabilistic_tournament,probabilistic_tournament,double_point,uniform_multigen,new_over_actual,items,0.5,0.5,0.1,0.1,10,2,1,5,0.01,100,2
