generation,mean_performance,diversity,selection_method,p_m,run
0,18.649934465563955,1.6048085267190062,elite,0.1,1
1,23.58236895603151,1.1210604855075048,elite,0.1,1
2,26.515227572465477,0.5307026557613775,elite,0.1,1
3,27.78421531867494,0.33245797725406806,elite,0.1,1
4,28.842556550673812,0.15596919801474785,elite,0.1,1
5,29.40137310621221,0.0716363165748657,elite,0.1,1
6,29.640733935290978,0.08450972436985586,elite,0.1,1
7,29.83928979002695,0.1115789916409677,elite,0.1,1
8,30.1057268191424,0.14553021246211953,elite,0.1,1
9,30.4640264245069,0.17106484889641196,elite,0.1,1
10,30.623622427350888,0.20086368808307375,elite,0.1,1
11,31.12808929680096,0.12664119985948233,elite,0.1,1
12,31.31054744735612,0.08181743322369968,elite,0.1,1
13,31.573215838672162,0.1006605985723535,elite,0.1,1
14,31.88621590836069,0.07004400771430673,elite,0.1,1
15,32.00102903884424,0.0915420823332942,elite,0.1,1
16,32.35152833193919,0.12661299511644344,elite,0.1,1
17,32.60603233992348,0.11965565975832522,elite,0.1,1
18,32.76126082714244,0.09696758660982281,elite,0.1,1
19,33.11980427561357,0.06404384204627919,elite,0.1,1
20,33.26858339886571,0.07719564190688256,elite,0.1,1
21,33.499249607128334,0.11987502161150938,elite,0.1,1
22,33.64514160550307,0.09726554546869554,elite,0.1,1
23,33.8557703994854,0.06314132583319895,elite,0.1,1
24,34.121302866317855,0.07882119506548095,elite,0.1,1
25,34.15781976130324,0.07926786459558542,elite,0.1,1
26,34.42710790517712,0.11016275759279875,elite,0.1,1
27,34.74836725670541,0.09415515565780203,elite,0.1,1
28,35.13077084491323,0.06591242224887574,elite,0.1,1
29,34.9145747574425,0.08237882518219018,elite,0.1,1
30,35.19581806168744,0.07645787170599097,elite,0.1,1
31,35.588374617736086,0.09344371217187279,elite,0.1,1
32,35.66579628648371,0.11511039953186925,elite,0.1,1
33,36.06009894663393,0.10907383278779172,elite,0.1,1
34,36.28013937260786,0.04204429158663638,elite,0.1,1
35,36.34819097695419,0.07749089470567044,elite,0.1,1
36,36.47393235070549,0.12360077333262709,elite,0.1,1
37,36.85134468301402,0.10852090796145215,elite,0.1,1
38,37.1469439608658,0.11040784569813028,elite,0.1,1
39,37.39625260562755,0.10914477840824478,elite,0.1,1
40,37.65328093092406,0.07999691213457213,elite,0.1,1
41,37.97728020297856,0.09011244706948023,elite,0.1,1
42,38.2747729499096,0.09645889903319771,elite,0.1,1
43,38.47008559660395,0.04821546478955304,elite,0.1,1
44,38.699804280674755,0.0763278964998506,elite,0.1,1
45,39.02523145481753,0.10291338846011104,elite,0.1,1
46,39.2598923517174,0.09655837931143167,elite,0.1,1
47,39.472947947054564,0.07818904666982368,elite,0.1,1
48,39.73770567670131,0.09409530748155089,elite,0.1,1
49,39.90021363868966,0.07206610018207567,elite,0.1,1
50,40.28372927125303,0.07788729978590792,elite,0.1,1
51,40.435654070436925,0.08543809153630007,elite,0.1,1
52,40.80069857322148,0.11156441089218394,elite,0.1,1
53,41.25345052038447,0.07554921694097096,elite,0.1,1
54,41.5272870087645,0.08710477015464942,elite,0.1,1
55,41.899850738387904,0.10411371722190606,elite,0.1,1
56,42.02620242824738,0.12284616092571289,elite,0.1,1
57,41.94169693879793,0.12867071601277644,elite,0.1,1
58,42.46627934691199,0.09696414370281504,elite,0.1,1
59,42.70239184591719,0.06702917173382263,elite,0.1,1
60,42.99020362740771,0.04733610963269056,elite,0.1,1
61,43.128198308081004,0.07207013764631828,elite,0.1,1
62,43.37394131605317,0.07982357105833905,elite,0.1,1
63,43.857477488578226,0.12234756379957955,elite,0.1,1
64,44.28538690011758,0.07163892226993708,elite,0.1,1
65,44.43323703951037,0.057594500541071035,elite,0.1,1
66,44.60421757686382,0.07369695462992455,elite,0.1,1
67,44.661658440530125,0.07791584441229803,elite,0.1,1
68,45.052060356655026,0.05634313171443043,elite,0.1,1
69,45.00603891574971,0.07110691526288948,elite,0.1,1
70,45.05443776921948,0.10527636627358332,elite,0.1,1
71,45.47462889603874,0.09664392561606365,elite,0.1,1
72,45.6458190102228,0.09595665727056478,elite,0.1,1
73,46.234611760573955,0.07647459471890558,elite,0.1,1
74,46.057783364222196,0.08979433642088362,elite,0.1,1
75,46.419143897315514,0.08071773881515668,elite,0.1,1
76,47.35564449407575,0.06984581501321187,elite,0.1,1
77,47.34221707854369,0.0884044126652933,elite,0.1,1
78,47.96645253576756,0.10923494550067091,elite,0.1,1
79,48.20610748501439,0.08971530418735453,elite,0.1,1
80,48.672519418487354,0.07608807694984791,elite,0.1,1
81,48.86807047365657,0.11917915487765868,elite,0.1,1
82,49.284604044632445,0.09218998223002911,elite,0.1,1
83,49.869326913071674,0.03290749763364879,elite,0.1,1
84,49.928072573057115,0.047807712813394965,elite,0.1,1
85,50.22348217134864,0.08295643621787004,elite,0.1,1
86,50.70658553023337,0.1064848012151181,elite,0.1,1
87,51.087274054309404,0.05145759110473436,elite,0.1,1
88,50.844335533223806,0.0501517708198343,elite,0.1,1
89,51.20885950204391,0.09102053156127843,elite,0.1,1
90,51.5775301340571,0.07781456477137794,elite,0.1,1
91,51.92588698781989,0.06511456422784204,elite,0.1,1
92,52.08675392104679,0.058467972973852665,elite,0.1,1
93,52.368577680879156,0.0540276088017293,elite,0.1,1
94,52.60401010931459,0.06106593581913228,elite,0.1,1
95,52.7935064482913,0.10483844965576249,elite,0.1,1
96,53.39960122049528,0.09940832455357579,elite,0.1,1
97,53.39065705933467,0.08275046919224047,elite,0.1,1
98,54.098705406393684,0.07939218627653032,elite,0.1,1
