generation,mean_performance,diversity,selection_method_1,selection_method_2,A_and_B,run
0,19.242374826518517,1.5243969656974377,deterministic_tournament,probabilistic_tournament,0.1,1
1,20.763955908450086,1.531646717314464,deterministic_tournament,probabilistic_tournament,0.1,1
2,22.007881596966786,1.4668850319878615,deterministic_tournament,probabilistic_tournament,0.1,1
3,23.023208673596724,1.2249388080692338,deterministic_tournament,probabilistic_tournament,0.1,1
4,24.494095959455652,1.1420199115946115,deterministic_tournament,probabilistic_tournament,0.1,1
5,25.437269489577062,0.9580026053019802,deterministic_tournament,probabilistic_tournament,0.1,1
6,26.514727202695028,0.6426328575992816,deterministic_tournament,probabilistic_tournament,0.1,1
7,26.714405197576507,0.586906902404621,deterministic_tournament,probabilistic_tournament,0.1,1
8,27.225054909936894,0.4150513269207559,deterministic_tournament,probabilistic_tournament,0.1,1
9,27.727671894026408,0.42968283598254803,deterministic_tournament,probabilistic_tournament,0.1,1
10,28.238377591909284,0.4134009019853415,deterministic_tournament,probabilistic_tournament,0.1,1
11,28.661859594897628,0.39920915324635414,deterministic_tournament,probabilistic_tournament,0.1,1
12,28.674113237015632,0.35234832846978037,deterministic_tournament,probabilistic_tournament,0.1,1
13,28.91884908627909,0.3102394673070892,deterministic_tournament,probabilistic_tournament,0.1,1
14,29.14871245001362,0.24940222080527072,deterministic_tournament,probabilistic_tournament,0.1,1
15,29.46148546023405,0.1971933729593569,deterministic_tournament,probabilistic_tournament,0.1,1
16,29.518138795028573,0.20041313313803263,deterministic_tournament,probabilistic_tournament,0.1,1
17,29.818040102351564,0.17005663580956995,deterministic_tournament,probabilistic_tournament,0.1,1
18,29.594998137087842,0.21289642322302513,deterministic_tournament,probabilistic_tournament,0.1,1
19,29.890485191337362,0.1857877854523312,deterministic_tournament,probabilistic_tournament,0.1,1
20,29.954785293061278,0.19970542052519155,deterministic_tournament,probabilistic_tournament,0.1,1
21,30.151055556590173,0.20635481030881583,deterministic_tournament,probabilistic_tournament,0.1,1
