generation,mean_performance,diversity,selection_method,end_condition
0,19.08770156092989,1.453799885378962,elite,max_generations
1,23.868629759044335,1.233251779291468,elite,max_generations
2,26.812779684014412,0.843735408349732,elite,max_generations
3,27.861409325576897,0.5113045436808802,elite,max_generations
4,30.14323081217361,0.32856621741329006,elite,max_generations
5,30.549558662338438,0.1159878011423634,elite,max_generations
6,31.04220182145804,0.05351699986390713,elite,max_generations
7,31.277471049092107,0.07127852918963393,elite,max_generations
8,31.504207527427983,0.07570166130324141,elite,max_generations
9,31.669570453178295,0.049722430522719054,elite,max_generations
10,32.02610647210959,0.03311652935706509,elite,max_generations
11,32.069866565208606,0.06205810105712698,elite,max_generations
12,32.254606413089704,0.08815253688282827,elite,max_generations
13,32.607572571858206,0.09584691635282,elite,max_generations
14,32.764026248836394,0.1182549793599324,elite,max_generations
15,33.074693218695494,0.11647178881212912,elite,max_generations
16,33.27153146703298,0.1219579689707324,elite,max_generations
17,33.55380339839487,0.12788305774768352,elite,max_generations
18,33.92716419432732,0.1068021760179962,elite,max_generations
19,34.10610530331439,0.12643586262219264,elite,max_generations
20,34.40827105470212,0.14343250422164536,elite,max_generations
21,34.710485582364356,0.08348583064509751,elite,max_generations
22,34.91929034197142,0.07039030138974352,elite,max_generations
23,35.256122025694246,0.08266438650766392,elite,max_generations
24,35.261962449510776,0.08165274578951155,elite,max_generations
25,35.59342794334023,0.08671691931574278,elite,max_generations
26,35.69081084027066,0.08117993546397176,elite,max_generations
27,35.95871687663957,0.0889554538617719,elite,max_generations
28,36.32088582684331,0.11332614867669343,elite,max_generations
29,36.58933913163801,0.06571266411269673,elite,max_generations
30,36.36997618470888,0.09971727014685751,elite,max_generations
31,36.85725111662249,0.08951368689544255,elite,max_generations
32,37.020555256729125,0.05434454659312352,elite,max_generations
33,37.12688171558838,0.08774836842313022,elite,max_generations
34,37.574613865435424,0.11161149579562013,elite,max_generations
35,37.977068653560345,0.10088463856866353,elite,max_generations
36,38.24743058639986,0.0674812762583872,elite,max_generations
37,38.39998241978701,0.07966198221390068,elite,max_generations
38,38.55817396482201,0.03364780598362195,elite,max_generations
39,38.71918461975386,0.03873262571026551,elite,max_generations
40,38.970204206366226,0.0487000327151843,elite,max_generations
41,39.20386351237598,0.054237324022229395,elite,max_generations
42,39.333365763094235,0.04741153361105758,elite,max_generations
43,39.43109377678475,0.08902036133284119,elite,max_generations
44,39.663987422477796,0.06111093866622169,elite,max_generations
45,39.72988327059856,0.050772938556453484,elite,max_generations
46,40.0089292642165,0.07736080478272413,elite,max_generations
47,40.12717797847431,0.10370522874483327,elite,max_generations
48,40.45822629680306,0.11023241666039994,elite,max_generations
49,40.731424967305294,0.12499955310698109,elite,max_generations
50,40.993259364094264,0.05689485427973747,elite,max_generations
51,41.18541329819125,0.08745577208510752,elite,max_generations
52,41.507084550237344,0.07612011004438356,elite,max_generations
53,41.74269349659594,0.0996636811426284,elite,max_generations
54,41.79478023077567,0.07958017043569998,elite,max_generations
55,42.2659876842799,0.10256878744173564,elite,max_generations
56,42.45169832663806,0.11135637874656594,elite,max_generations
57,42.82222445755276,0.07216838461937673,elite,max_generations
58,43.30015705163673,0.0683725136306702,elite,max_generations
59,43.78089805382929,0.10441789234941934,elite,max_generations
60,43.80471504245683,0.06975091693201975,elite,max_generations
61,43.81937962627323,0.07055999922790317,elite,max_generations
62,44.25161118975257,0.1112260180852541,elite,max_generations
63,44.89019863312748,0.09891467115804058,elite,max_generations
64,44.92867602295565,0.10414789694165523,elite,max_generations
65,45.6156720025115,0.046516193928742934,elite,max_generations
66,45.418536063275916,0.08427904318189582,elite,max_generations
67,45.436043697106754,0.06484944844389888,elite,max_generations
68,45.63365057816427,0.08964382593913423,elite,max_generations
69,46.176936521077366,0.11364649030426617,elite,max_generations
70,46.64822785069241,0.10579641125140206,elite,max_generations
71,46.73563669180986,0.07409766615839747,elite,max_generations
72,46.79408331771953,0.09438139055234808,elite,max_generations
73,47.22906020996321,0.06558468833041543,elite,max_generations
74,47.52014297790327,0.06597825115292867,elite,max_generations
75,47.527474544593744,0.10016679842112343,elite,max_generations
76,47.978556932659245,0.07365412258745359,elite,max_generations
77,48.52598472538586,0.039955083468696556,elite,max_generations
78,48.72653016139471,0.06330204793172935,elite,max_generations
79,49.078712564159,0.0564499187902264,elite,max_generations
80,49.173413656873045,0.0647399266150747,elite,max_generations
81,49.48799849455773,0.0826536717187938,elite,max_generations
82,49.80599348940171,0.11054848750690205,elite,max_generations
83,50.24321922763202,0.09313865253350538,elite,max_generations
84,50.6439150844568,0.058152998949085634,elite,max_generations
85,50.99011946880019,0.04261498459366861,elite,max_generations
86,51.13135581779694,0.04693071479163469,elite,max_generations
87,51.258304177842895,0.0843201115234264,elite,max_generations
88,51.612694220329416,0.0679111494144052,elite,max_generations
89,51.81406576256691,0.0800950102766621,elite,max_generations
90,52.180333030584286,0.0938204775979864,elite,max_generations
91,52.24519625560417,0.10320100067055864,elite,max_generations
92,52.454914264272894,0.12072750188501374,elite,max_generations
93,53.132663095082904,0.056686029490125835,elite,max_generations
94,52.92252881619893,0.055291456307352514,elite,max_generations
95,53.05892527011559,0.09020047152898993,elite,max_generations
96,53.430001830361206,0.05285967490329028,elite,max_generations
97,54.09096227394146,0.06565734221637441,elite,max_generations
98,54.18836851404101,0.10660925040957654,elite,max_generations
99,54.64446869374394,0.07410089877707728,elite,max_generations
100,54.97763020761616,0.09524832544783912,elite,max_generations
101,55.117804559663625,0.042592087792435396,elite,max_generations
102,55.24209048525497,0.07547167492425554,elite,max_generations
103,55.60846902180269,0.06875173390656757,elite,max_generations
104,55.634745758867446,0.06794565493314186,elite,max_generations
105,55.87449946810115,0.09317260572936926,elite,max_generations
106,56.287868666325174,0.09049457984122623,elite,max_generations
107,56.59712228836403,0.0649912385452942,elite,max_generations
108,56.620194168163565,0.08234704812675579,elite,max_generations
109,56.932622319544755,0.02913985746185289,elite,max_generations
110,56.882106268792676,0.04811800901791097,elite,max_generations
111,57.076771970635406,0.0712302158749157,elite,max_generations
112,57.363977085021816,0.08490808936335559,elite,max_generations
113,57.530154427824236,0.07518528757783163,elite,max_generations
114,57.89454658141912,0.023809420604722353,elite,max_generations
115,57.61516383581263,0.04362105154784172,elite,max_generations
116,57.52232584358797,0.06621021212316618,elite,max_generations
117,57.8813398157926,0.08113512541331522,elite,max_generations
118,58.04423536496295,0.05572125512270185,elite,max_generations
119,58.35129772153707,0.07146211971575363,elite,max_generations
120,58.543656580476224,0.07843262253623733,elite,max_generations
121,58.80576304417069,0.05673729666226051,elite,max_generations
122,58.78962871319322,0.04909379205712791,elite,max_generations
123,58.690094176121846,0.04534327859954836,elite,max_generations
124,58.84323084959956,0.053265690670504184,elite,max_generations
125,59.07589587901929,0.058278656717855835,elite,max_generations
126,59.07072000203934,0.02996365645662742,elite,max_generations
127,59.447971659887926,0.038711424628738174,elite,max_generations
128,59.056742831904074,0.05826046839734516,elite,max_generations
129,59.393374006795085,0.04587100338168513,elite,max_generations
130,59.2809701146657,0.045992931263678906,elite,max_generations
131,59.46965875451155,0.04927885471826903,elite,max_generations
